OBJECTID,ZONE_CODE,PDR,PDR_DENSIT,CASE_NO,LABEL,EDITOR,ACTION_,COMMENT_,ACRES,BOC_DATE,CITY_COUNC,MAP_EDIT_D,ERROR_FIX_,UDO,ZONE_GEN,UDO_LABEL,DEVELOP_PL,UDO_LEGEND,IN_DATE,PDR_RNG,GlobalID,ShapeSTArea,ShapeSTLength
1,RM-16, ,0,P93-63,RM-16, , , ,3.14983347,,1993/08/16 05:00:00+00,,,RU-M,RES_HIGH_DENSITY,RU-M, ,13 - RU-M,,,{D0348153-6610-4549-A9E2-64A6D49F0C0E},137206.318115234,1739.12697173416
2,I-2, ,0, ,I-2, , , ,19.27411826,,,,,IL,INDUSTRIAL,IL, ,21 - IL,,,{3065532A-ABC2-4F61-A60E-199742233B48},839577.974975586,4077.78818290709
3,CT, ,0, ,CT, , , ,29.99636138,,,,,IL,COMMERCIAL,IL, ,21 - IL,,,{BE31FC31-0BCD-4E17-92A4-42ACAFC6176A},1306637.43066406,8082.04865712504
4,OI-2, ,0,P93-77,OI-2, , , ,0.59825134,,1993/11/15 05:00:00+00,,,OI,OFFICE_INSTITUTIONAL,OI, ,18 - OI,,,{87016033-2624-483B-B743-074927B85FB9},26059.7469482422,660.593035369332
5,RD, ,0,Z07-41,RD, , ,"P94-49;P02-47;P03-69;P04-25;Z06-05A",8.36194501,2009/09/14 05:00:00+00,2003/01/21 05:00:00+00,,,RS-10,RES_RURAL_DENSITY,RS-10(D),(D), 8 - RS-10,2009/09/14 05:00:00+00,,{93E3FEB2-DF1E-45FD-B53A-2BD55F303FA8},364245.189819336,3561.97730889228
6,CT, ,0, ,CT, , , ,1.94857898,,,,,IL,COMMERCIAL,IL, ,21 - IL,,,{321ACE44-3A3E-4FB6-BEDA-B0AD1BE402DA},84879.8354492188,1321.37779667885
7,RM-12, ,0, ,RM-12, , ,P87-45,0.19127248,,,,,RS-M,RES_HIGH_DENSITY,RS-M, ,10 - RS-M,,,{FF636A11-802E-4835-A770-07DDB89CC230},8331.80310058594,441.522354597849
8,NC, ,0, ,NC, , , ,1.98571576,,,,,CN,COMMERCIAL,CN, ,17 - CN,,,{9CF9B0CD-C33E-4125-8E8B-21CAB4F5C920},86497.5089111328,1567.71455840635
9,,,,Z1800030,CSD-S1,Rob, ,,422.93936799,,2019/08/05 05:00:00+00,2019/08/14 22:05:34+00,,CSD-S1,COMPACT SUBURBAN DESIGN,CSD-S1, ,47 - CSD-S1,,,{F484E697-AF21-4373-8813-2A24995B89A1},18423181.4633789,29400.030689263
10,R-20, ,0,P98-83,R-20, , , ,21.95017923,1999/06/28 05:00:00+00,,,,RS-20,RES_LOW_DENSITY,RS-20, , 7 - RS-20,,,{2AB56255-B393-451B-A58D-3CCE4F137030},956146.82800293,4710.72039355689
11,NC, ,0, ,NC, , ,P79-31,4.77810244,,,,,CN,COMMERCIAL,CN, ,17 - CN,,,{85B311A7-66EE-41CD-92B7-4B9B84E0D1FD},208133.493652344,1842.538982377
12,R-8, ,0, ,R-8, , , ,179.3691344,,,,,RS-8,RES_MEDIUM_DENSITY,RS-8, , 9 - RS-8,,,{54F2F5C6-440C-45B6-AAEF-DAAA709CCC6F},7813295.14880371,18422.3167166294
13,PDR,Y,2.01999998,P98-53,PDR   2.020, , ,"P91-37;P91-15",70.35950275,1999/02/01 05:00:00+00,,,,PDR,RES_LOW_DENSITY,PDR 2.020,(D), 2 - PDR-LDR (2 - 4 du/ac),,PDR-LDR,{7E72C2F0-4B0B-4619-81F2-64AA38198B30},3064850.39013672,8435.7895806722
14,, ,0,Z1000003,, , ,"P91-42;Z0900016",4.98596752,,2010/08/02 05:00:00+00,,,DD-S2,DOWNTOWN DESIGN-SUPPORT 2,DD-S2, ,29 - DD-S2,2010/08/02 05:00:00+00,,{94967BB3-6133-4D5D-937E-5D2C1EFB8304},217188.068481445,2643.92232049666
15,R-3, ,0,,R-3, , , ,54.28002134,,1985/04/01 05:00:00+00,,,RU-5(2),RES_HIGH_DENSITY,RU-5(2), ,12 - RU-5(2),,,{4C5DA788-C489-49D7-BC63-B564B8040677},2364430.36328125,10256.9147489118
16,RM-12, ,0, ,RM-12,LDW , , ,2.09867711,,2016/08/15 05:00:00+00,2016/09/06 05:00:00+00,,CN,COMMERCIAL,CN(D),D,17 - CN,,,{DF885BB3-3169-49E9-8768-1C28249ED5DE},91418.0900878906,1284.53405090231
17,NC, ,0, ,NC, , ,P87-54,0.53141002,,,,,CN,COMMERCIAL,CN, ,17 - CN,,,{DB113B3F-769D-456C-8251-83B66B0C24B9},23148.1483154297,662.029480803771
18,R-20, ,0, ,R-20, , , ,53.10455155,,,,,RS-20,RES_LOW_DENSITY,RS-20, , 7 - RS-20,,,{8A1B8C95-4D9B-4226-876A-204C38432CA8},2313227.05773926,10903.118825817
19,GC, ,0,Z07-39,GC, , ,"P76-01;P81-08",3.91425455,,2008/08/04 05:00:00+00,,,CG,COMMERCIAL,CG(D),(D),19 - CG,,,{D57C292D-FCE2-42D5-BB02-84D965BAADEF},170504.396850586,1733.808890509
20,RM-12, ,0, ,RM-12, , , ,0.62325118,,,,,RS-M,RES_HIGH_DENSITY,RS-M, ,10 - RS-M,,,{E1B16ACC-8D9C-4521-9B4C-EFAB1B6D7F17},27148.7369384766,659.470278345031
21,R-10, ,0, ,R-10, , , ,2.72752571,,,,,RS-10,RES_LOW_DENSITY,RS-10, , 8 - RS-10,,,{C172F349-5B40-4EDC-9239-9D9353B0C829},118810.649902344,1475.81371802188
22,OI-2, ,0,P97-64,OI-2(D), , ,"P85-36;P87-07",3.43295018,,1998/01/20 05:00:00+00,,,OI,OFFICE_INSTITUTIONAL,OI(D),(D),18 - OI,,,{1CD1AC5D-ADE1-457D-8BE7-24EA8BEDB3BA},149538.843994141,1804.13782412104
23,I-2, ,0,P92-42,I-2(D), , , ,10.10902537,,1992/12/21 05:00:00+00,,,IL,INDUSTRIAL,IL(D),(D),21 - IL,,,{49221B15-7EA6-41B8-8D38-6C3FCE869CAD},440347.772705078,2944.74031926612
24,R-15, ,0,,R-15, , ,P01-06,0.09626143,2001/08/13 05:00:00+00,,,,RS-10,RES_LOW_DENSITY,RS-10, , 8 - RS-10,,,{312710CF-2062-486C-B46D-7FBF9570D7D1},4193.134765625,290.791478560064
25,RM-12, ,0, ,RM-12, , ,1994 Merger,0.12049874,,,,,RS-M,RES_HIGH_DENSITY,RS-M, ,10 - RS-M,,,{71F4130A-6C9F-4BA9-81C5-6E50E02C8968},5248.90881347656,329.968064852552
26,NC, ,0,P93-49,NC(D), , ,P88-52,12.88771027,,1993/06/21 05:00:00+00,,,CN,COMMERCIAL,CN(D),(D),17 - CN,,,{32505119-A364-42C9-B2BE-3A25991DC81C},561386.911865234,3034.23282392248
27,RM-12, ,0, ,RM-12, , , ,0.31171352,,,,,RS-M,RES_HIGH_DENSITY,RS-M, ,10 - RS-M,,,{ED858758-3611-4547-A735-1E44ACFB76F9},13578.1981201172,493.128813815281
28,R-20, ,0,,R-20, , ,P04-30 ,1.97311344,2004/08/23 05:00:00+00,,,,RS-20,RES_LOW_DENSITY,RS-20, , 7 - RS-20,,,{B75D8CC2-FBFA-45B9-9A8B-DB4A063CD2E2},85948.5533447266,1209.46237107814
29,OI-1, ,0,P01-26,OI-1(D),Alex,Adjusted zone line,"P78-33;P87-22;P91-30",0.19261507,,2001/08/06 05:00:00+00,,2001/01/22 05:00:00+00,OI,OFFICE_INSTITUTIONAL,OI(D),(D),18 - OI,,,{DCB4A19C-FB50-426E-8D3D-84C45278B76E},8390.28649902344,435.861626840447
30,R-20, ,0, ,R-20, , , ,1.74812322,,,,,RS-20,RES_LOW_DENSITY,RS-20, , 7 - RS-20,,,{A8EDD8AF-1FF7-4382-8098-A418F61A3740},76148.0103759766,1504.59268411258
31,RM-12, ,0, ,RM-12, , , ,30.11142629,,,,,RS-M,RES_HIGH_DENSITY,RS-M, ,10 - RS-M,,,{196E8803-1240-40E2-B51F-ABF0ABEA722B},1311649.64160156,4952.89040948659
32,PDR,Y,6.42000007,P85-94,PDR   6.420, , , ,72.11927157,,1986/01/06 05:00:00+00,,,PDR,RES_MEDIUM_DENSITY,PDR 6.420,(D), 3 - PDR-MDR (4 - 8 du/ac),,PDR-MDR,{A5B145D1-2083-41BF-9D52-584C2A293353},3141505.68115234,8737.27337861314
33,RD, ,0, ,RD, , , ,0.60814136,,,,,RR,RES_RURAL_DENSITY,RR, , 6 - RR,,,{CE34C620-2060-41C6-A721-AFC1650F1DA0},26490.5551757812,731.769445870402
34,OI-2, ,0,P97-54,OI-2(D), , , ,2.51468489,,1987/08/17 05:00:00+00,,,OI,OFFICE_INSTITUTIONAL,OI(D),(D),18 - OI,,,{3B41F19F-AFCE-46A5-9CAC-F64BA9952F2E},109539.332397461,1407.09646961675
35,R-15, ,0, ,R-15, , , ,12.21090336,,,,,RS-10,RES_LOW_DENSITY,RS-10, , 8 - RS-10,,,{F6CBB934-9044-48DD-81C6-39772DD02D68},531905.29309082,3334.27452889719
36,I-2,Y,4.84,Z07-46,I-2, , ,"P85-42;P04-46",152.44098725,2008/05/13 05:00:00+00,2008/03/17 05:00:00+00,2006/06/14 05:00:00+00,,PDR,RES_MEDIUM_DENSITY,PDR 4.840,(D), 3 - PDR-MDR (4 - 8 du/ac),2006/06/12 05:00:00+00,PDR-MDR,{A0067812-334C-41B4-A492-787181DD0E99},6640308.71350098,16407.6544884053
37,PDR,Y,7.0300002,P87-18,PDR   7.030, , ,P87-54,24.4901753,,1987/06/02 05:00:00+00,,,PDR,RES_MEDIUM_DENSITY,PDR 7.030,(D), 3 - PDR-MDR (4 - 8 du/ac),,PDR-MDR,{0B850F37-D936-4D71-8452-3B97107D02A6},1066788.71179199,4288.41616144857
38,GC, ,0, ,GC, , , ,2.35006919,,,,,CG,COMMERCIAL,CG, ,19 - CG,,,{5315456C-AC4B-4833-9F54-C6F7A69B837E},102368.694824219,1608.70859879972
39,RM-20, ,0,Z1100011,RM-20(D),Wadeg, , ,2.49986131,,2011/08/15 05:00:00+00,2011/08/16 05:00:00+00,,RU-5(2),RES_HIGH_DENSITY,RU-5(2),,12 - RU-5(2),,,{405EACCD-92B8-4FD5-A67C-60C6FA1ADD4D},108893.619262695,1536.45883077672
40,RM-12, ,0, ,RM-12, , , ,3.19253695,,,,,RS-M,RES_HIGH_DENSITY,RS-M, ,10 - RS-M,,,{5250E047-A227-44F7-9084-F06BCAF5FFAB},139066.47644043,1498.99946100059
41,R-20, ,0, ,R-20, , , ,0.28299397,,,,,RS-20,RES_LOW_DENSITY,RS-20, , 7 - RS-20,,,{C17C23FD-3105-4C77-8A9C-38EDA1F434DE},12327.1791992188,469.192251250786
42,OI-2, ,0,P97-05,OI-2(D), , ,"P87-01;P88-60",3.34695595,,2000/03/20 05:00:00+00,,,OI,OFFICE_INSTITUTIONAL,OI(D),(D),18 - OI,,,{80049E61-ECD5-472E-909C-516C010476ED},145792.946533203,1681.71877906108
43,R-3, ,0, ,R-3, , , ,14.28954306,,,,,RU-5(2),RES_HIGH_DENSITY,RU-5(2), ,12 - RU-5(2),,,{28B470E6-5C8D-45B4-8F58-3A02B837A5B0},622450.555541992,4620.63998721771
44,R-10, ,0,,R-10, , ,"P76-23;P80-27;P81-32;P86-50;P91-57",1528.70511783,,1986/09/02 05:00:00+00,,,RS-10,RES_LOW_DENSITY,RS-10, , 8 - RS-10,,,{71B599F6-3C39-4CF8-807A-1B67E413AF1F},66208598.3945312,92390.9669803138
45,OI-2, ,0, ,OI-2, , ,"P79-37;P83-40;P93-19",126.53383329,,,,,OI,OFFICE_INSTITUTIONAL,OI, ,18 - OI,,,{D4FCDA6B-080C-4635-8A0A-8A39058FC231},5511796.60534668,11833.6818948191
46,UC, ,0,P03-16,UC(D), , ,"P81-49;P85-89",599.59398689,,2003/10/20 05:00:00+00,,,UC, ,UC(D),(D),25 - UC,,,{43750274-A426-47E1-A2AB-E7FFCFE4BFD3},26118232.6850586,44385.1559151557
48,UC, ,0,P03-16,UC, , , ,30.05936213,,2003/10/20 05:00:00+00,,,UC, ,UC, ,25 - UC,,,{B8D01871-5019-4AC1-AA5E-D56ACC9D6B52},1309381.73425293,5402.64822068967
49,GC, ,0,P95-54,GC, , , ,7.04053672,,1995/12/15 05:00:00+00,,,CG,COMMERCIAL,CG, ,19 - CG,,,{A533B0C5-18AE-4BC7-B84A-F537487CC78D},306684.82421875,2699.21322771783
50,OI-2, ,0, ,OI-2, , , ,4.18462786,,,,,OI,OFFICE_INSTITUTIONAL,OI, ,18 - OI,,,{D604B5FF-5A19-482A-82BA-1ABF3F7E615C},182281.821411133,2849.53227552914
51,NC, ,0, ,NC, , , ,9.39785619,,,,,CN,COMMERCIAL,CN, ,17 - CN,,,{74EBFB17-02F6-458B-9AA7-305360BAD6C6},409369.33984375,3981.36760325489
52,R-20, ,0,Z06-03,R-20, , , ,2.99592791,,2006/06/19 05:00:00+00,2006/06/20 05:00:00+00,,OI,OFFICE_INSTITUTIONAL,OI(D),(D),18 - OI,2006/06/19 05:00:00+00,,{F44E13DA-987D-4056-96C4-B79B311A0626},130502.213134766,1513.5070317193
53,PDR,Y,1.98000001,,PDR 1.98, , ,"P00-47;P03-09;P04-33;P04-37",34.88322091,2004/09/27 05:00:00+00,2004/11/01 05:00:00+00,,,PDR,RES_LOW_DENSITY,PDR 1.980,(D), 1 - PDR-VLR (< 2 du/ac),,PDR-VLR,{9430CECD-9226-4A91-AC95-BDCCCDE57D97},1519508.36853027,5892.72280597651
54,NC, ,0,P98-36,NC(D), , ,P97-50,3.53560001,,1998/09/21 05:00:00+00,,,CN,COMMERCIAL,CN(D),(D),17 - CN,,,{76D7BB87-244A-40AD-AD32-277A7BC0B96F},154010.256347656,1808.04986740815
55,NC, ,0, ,NC, , , ,0.61005445,,,,,CN,COMMERCIAL,CN, ,17 - CN,,,{A5926796-A8F0-4A75-B109-28F100479EEF},26573.8892822266,689.28126484217
56,RM-20, ,0,Z1000004,RM-20, , , ,19.78250678,,2010/10/04 05:00:00+00,,,RU-M,RES_HIGH_DENSITY,RU-M(D),(D) ,13 - RU-M,2010/10/04 05:00:00+00,,{A61C440A-831C-4FE1-A290-6E57C9F449AF},861723.309814453,4699.55405767941
57,R-3, ,0,,R-3, , ,"P81-41;P86-64",4.0242799,,1986/12/15 05:00:00+00,,,RU-5(2),RES_HIGH_DENSITY,RU-5(2), ,12 - RU-5(2),,,{4BF350B3-7588-4A9E-8E9D-8062FE7D47CA},175297.0859375,1935.36161456459
58,CI, ,0,Z1300007,CI,Wadeg, ,"P95-51; Z1000011",0.54269067,,2013/09/03 05:00:00+00,2013/09/07 05:00:00+00,,CI,COMMERCIAL INFILL,CI(D),(D),44 - CI,2011/06/24 05:00:00+00,,{D757A86D-20F4-4778-AB29-2F02A49A7401},23639.5317382812,634.52261202692
59,GC, ,0,,GC, , ,"P76-03;P84-59",7.00195227,,1984/12/03 05:00:00+00,,,CG,COMMERCIAL,CG, ,19 - CG,,,{C67AC3F0-C912-4843-A929-DD94226AC153},305004.090087891,3277.7767899298
60,PDR,Y,4.69000005,P03-12,PDR 4.69, , ,P04-51,1.67329645,2003/09/22 05:00:00+00,,,,PDR,RES_MEDIUM_DENSITY,PDR 4.690,(D), 3 - PDR-MDR (4 - 8 du/ac),,PDR-MDR,{739EF1F5-CE13-4BD6-898A-4B49A6288B7B},72888.5659179688,1617.3757778862
61,RM-12, ,0, ,RM-12, , , ,0.51566406,,,,,RS-M,RES_HIGH_DENSITY,RS-M, ,10 - RS-M,,,{AAC348A5-9AE7-4938-BF8B-E37FD4AFB40E},22462.2562255859,599.810364232665
62,RM-12, ,0,,RM-12, , ,P88-18 ,9.62139379,,1988/06/06 05:00:00+00,,,RS-M,RES_HIGH_DENSITY,RS-M, ,10 - RS-M,,,{D83061BC-9FE3-46FF-8BEB-471AD665F4CB},419106.607788086,3135.47196773683
63,R-20, ,0, ,R-20, , , ,3.61369467,,,,,RS-20,RES_LOW_DENSITY,RS-20, , 7 - RS-20,,,{D027C4A9-E8B5-4D66-8392-609C43FDBDD3},157412.049194336,1775.01120406479
64,RD, ,0, ,RD, , , ,175.40022377,,,,,RR,RES_RURAL_DENSITY,RR, , 6 - RR,,,{037359DD-B34D-42A4-B966-8BA0CFD728A9},7640409.9395752,19549.284842591
65,GC, ,0,Z1300021,GC,Wadeg,CN to CG(D),"P00-83;P97-11",4.93857454,,,2014/04/09 05:00:00+00,,CG,COMMERCIAL,CG (D),(D),19 - CG,,,{1D154DD5-335C-4D31-B052-004371C743B8},215123.636474609,1904.64897252595
66,OI-1, ,0,,OI-1, , ,"P74-16;P77-24;P78-07;P87-39;P95-23",24.12808044,,1995/08/21 05:00:00+00,,,OI,OFFICE_INSTITUTIONAL,OI, ,18 - OI,,,{6288C0E7-07D3-4C95-A6B5-C1C8D9BD31C7},1051015.90905762,6674.78291863059
67,OI-1, ,0,P92-37,OI-1(D), , , ,5.97871177,,1992/08/17 05:00:00+00,,,OI,OFFICE_INSTITUTIONAL,OI(D),(D),18 - OI,,,{AC05F5F0-3780-45ED-90F0-5AA531FC8965},260431.873168945,2054.71357596144
68,RD, ,0, ,RD, , , ,1.08293384,,,,,RR,RES_RURAL_DENSITY,RR, , 6 - RR,,,{5FB22C6D-99D3-41F4-B8B4-8C938577B097},47172.4512939453,1174.40879331373
69,OI-1, ,0,P92-51,OI-1(D), , , ,2.19020567,,1992/12/21 05:00:00+00,,,OI,OFFICE_INSTITUTIONAL,OI(D),(D),18 - OI,,,{C5E9EC97-EEFA-466F-B4E8-233BEA26EF3B},95405.0622558594,1312.93771489708
70,R-20, ,0, ,R-20, , , ,29.1202884,,,,,RS-20,RES_LOW_DENSITY,RS-20, , 7 - RS-20,,,{93A100F3-D473-419A-AF2A-22DF6A4B5C30},1268475.81103516,8224.55640475998
71,NC, ,0, ,NC, , ,P87-54,0.8828281,,,,,CN,COMMERCIAL,CN, ,17 - CN,,,{8147F5B0-BD89-4F32-9A17-37FF95035CEC},38455.8724365234,823.851172295735
72,OI-1, ,0,P91-30,OI-1(D),Alex,Adjusted zone line,P87-22,0.86491306,,1991/09/16 05:00:00+00,,2001/01/22 05:00:00+00,OI,OFFICE_INSTITUTIONAL,OI(D),(D),18 - OI,,,{135C0718-3DE4-446B-B533-B24227C8A28F},37675.4954833984,786.64901450901
73,R-20, ,0, ,R-20, , , ,57.64026483,,,,,RS-20,RES_LOW_DENSITY,RS-20, , 7 - RS-20,,,{50B1A163-8D51-41E7-B2E8-9363B62467E6},2510802.11206055,6586.38249813167
74,R-20, ,0,P93-31,R-20, , , ,2.16860679,,,,,RS-20,RES_LOW_DENSITY,RS-20, , 7 - RS-20,,,{136E5928-22D7-40CD-8D51-E9B26F88BDFF},94464.2174072266,2196.77323543334
75,NC, ,0, ,NC, , ,P90-45 Failed 11/19/90,13.4218316,,,,,CN,COMMERCIAL,CN, ,17 - CN,,,{BD68FE15-BD7A-4F36-A23C-244EC0E3E9ED},584653.162719727,4048.75045489854
76,CT, ,0,P94-31,CT(D),Alex,Mapped incorrectly per case P94-31, ,7.68686773,,1995/04/29 05:00:00+00,,,IL,COMMERCIAL,IL(D),(D),21 - IL,,,{4EB40F3E-7040-49D6-8B27-0AA2B5D30922},334838.915039062,2325.33766245946
77,OI-2, ,0,P87-54,OI-2(D), , , ,3.42955289,,,,,OI,OFFICE_INSTITUTIONAL,OI(D),(D),18 - OI,,,{5CB72A27-A057-4397-BBA4-1A0726A429E0},149390.858398438,1547.75843967392
78,OI-1, ,0,P93-17,OI-1(D), , ,P85-15,2.57187819,,1993/06/21 05:00:00+00,,,OI,OFFICE_INSTITUTIONAL,OI(D),(D),18 - OI,,,{AF1880C6-B388-4236-9BF2-634C14DF1F89},112030.665039062,1440.3873458085
79,SC, ,0,P92-54,SC,Alex,Mapped incorrectly per P88-47,"P85-47;P86-42;P88-47;P87-75",23.60494795,,1992/12/21 05:00:00+00,,2002/02/26 05:00:00+00,CC,COMMERCIAL,CC(D), ,16 - CC,,,{9F6FE527-A310-4EBF-9B3A-FC19983D884D},1028228.32849121,4740.6019421786
80,R-20, ,0,,R-20, ,P02-66,"P80-22;P83-45;P91-55;P91-59;P93-31;P02-44;P03-68",0.00265739,,2003/01/21 05:00:00+00,,,RS-20,RES_LOW_DENSITY,RS-20, , 7 - RS-20,,,{F645D6AB-A97E-4594-B47F-750E4279F906},115.75537109375,675.857967659443
81,RM-16, ,0,P94-03,RM-16(D), , , ,21.81160836,,1994/04/18 05:00:00+00,,,RS-M,RES_HIGH_DENSITY,RS-M(D),(D),10 - RS-M,,,{096657D6-89EE-4BA0-B9AF-21429DC33B52},950110.699829102,5162.39401948508
82,NC, ,0,,NC, , ,"P86-01;P87-54",39.32204634,,,,,CN,COMMERCIAL,CN, ,17 - CN,,,{C7B91A17-1016-4D77-841C-94F30AE18EF8},1712863.00134277,9531.61504922429
83,R-10, ,0,Z0800006,R-10,Wadeg, ,Z0800006,1.4455623,,2008/05/05 05:00:00+00,,,RS-10,RES_LOW_DENSITY,RS-10, , 8 - RS-10,,,{1EE8167E-5127-422C-8C13-1E7CADCD80C9},62968.4976806641,1256.11564281338
84,CT, ,0, ,CT, , , ,3.18051878,,,,,IL,COMMERCIAL,IL, ,21 - IL,,,{6383BD5F-A7C3-4729-B094-7FB43CE5696B},138542.966308594,1691.16987416126
85,RD, ,0, ,RD, , , ,2.05066483,,,,,RR,RES_RURAL_DENSITY,RR, , 6 - RR,,,{4985618F-F528-49A3-93BA-E75F87AEC7CC},89326.6815185547,1271.29610733861
86,RM-12, ,0,,RM-12, ,,P90-25,0.33543907,,1990/06/18 05:00:00+00,,,RS-M,RES_HIGH_DENSITY,RS-M, ,10 - RS-M,,,{22699C99-A7D0-4CB8-B64B-CCB9143DF5DB},14611.6805419922,525.157932661957
87,RM-12, ,0, ,RM-12, , , ,0.23829719,,,,,RS-M,RES_HIGH_DENSITY,RS-M, ,10 - RS-M,,,{83B4501C-94AA-4419-9446-C451F45B465F},10380.1934814453,477.358565061442
88,RM-20, ,0, ,RM-20, , , ,1.04282202,,,,,RU-M,RES_HIGH_DENSITY,RU-M, ,13 - RU-M,,,{50F203A0-23CB-48EA-9FEA-EE4D9AE72575},45425.1856689453,855.002526965461
89,I-2, ,0,,I-2, , ,"P89-36;P95-29;P96-82;P97-34;Z06-50;Z0800009;Z0900008",0.08727001,1989/12/18 05:00:00+00,2009/09/08 05:00:00+00,,,IL,INDUSTRIAL,IL, ,21 - IL,2009/09/08 05:00:00+00,,{ECD2A44F-F249-404A-ABCE-645E70102602},3801.4697265625,295.277108389625
90,PDR,Y,6,P80-42,PDR   6.000, , ,P78-22,117.15285336,,1981/01/05 05:00:00+00,,,PDR,RES_MEDIUM_DENSITY,PDR 6.000,(D), 3 - PDR-MDR (4 - 8 du/ac),,PDR-MDR,{656F0A9A-7C3D-4A05-B328-F6A0C1437415},5103162.39025879,12847.8762262622
91,OI-2, ,0,P02-30,OI-2(D), , ,P02-46,14.03656727,,2003/02/03 05:00:00+00,,,OI,OFFICE_INSTITUTIONAL,OI(D),(D),18 - OI,,,{1C82F129-3290-4DC1-BF72-8576AEB1BB3C},611430.965454102,3904.71708203081
92,NC, ,0,P00-59,NC, , , ,0.22596721,,2001/03/05 05:00:00+00,,,CN,COMMERCIAL,CN, ,17 - CN,,,{43FB51D3-C874-4D67-81BB-95F2C98A4659},9843.10131835938,668.873711117858
93,R-5, ,0,Z1000012,R-5,Wadeg, ,P90-11,1.32791669,,2011/08/15 05:00:00+00,2011/08/16 05:00:00+00,,IL,INDUSTRIAL,IL(D),(D),21 - IL,,,{46A33AF3-9757-41CB-8978-699867BE2F79},57843.8704833984,1005.52258879798
94,RM-12, ,0, ,RM-12, , , ,0.43034332,,,,,RS-M,RES_HIGH_DENSITY,RS-M, ,10 - RS-M,,,{A983E26F-319C-4D85-B380-344EC3404622},18745.6967773438,557.282076250052
95,R-20, ,0, ,R-20, , , ,8.28959969,,,,,RS-20,RES_LOW_DENSITY,RS-20, , 7 - RS-20,,,{9729A4F5-DF1C-45D2-B163-3548F6CD2A6A},361093.837158203,2858.45007413639
96,NC, ,0,P92-43,NC(D), , ,P87-26,0.26576587,,1992/10/19 05:00:00+00,,,CN,COMMERCIAL,CN(D),(D),17 - CN,,,{8E9084DA-C6FD-48DC-97F5-12CD523ADDB6},11576.7250976562,559.818131274866
97,GC, ,0,P01-44,GC(D), , ,P03-10,3.62142358,,,,,CG,COMMERCIAL,CG(D),(D),19 - CG,,,{60E7C820-5348-4536-94D5-6C4968B40DF7},157748.719482422,1678.35956909262
98,R-5, ,0, ,R-5, , , ,1.24228773,,,,,RU-5,RES_MEDIUM_DENSITY,RU-5, ,11 - RU-5,,,{A39EC25D-6639-42D4-AAC7-DC3621EDB730},54113.884765625,975.057573163307
99,I-2, ,0,P04-60,I-2(D), , , ,3.67717655,2005/01/24 05:00:00+00,,,,IL,INDUSTRIAL,IL(D),(D),21 - IL,,,{0839C302-3228-43BD-A669-3FF4DA09504D},160177.311401367,2115.41739857938
100,RD, ,0,,RD, , ,"P94-47;P94-49",12.34114128,,1995/02/13 05:00:00+00,,,RR,RES_RURAL_DENSITY,RR, , 6 - RR,,,{C0778BE4-81C1-42AC-B3C6-DCE801128840},537578.438964844,5360.46681810379
101,OI-2, ,0,P93-70,OI-2(D), , , ,0.75940649,,,,,OI,OFFICE_INSTITUTIONAL,OI(D),(D),18 - OI,,,{E53EB627-9549-46D1-845F-3CFC2BB47439},33079.6433105469,1222.7545428085
102,I-2, ,0,,I-2, , ,"P85-62;P01-33;P01-52",705.75612659,,2002/01/22 05:00:00+00,,,IL,INDUSTRIAL,IL, ,21 - IL,,,{E70D7CE7-BB47-46E7-9095-87C0A6E9FB8D},30742641.0797119,33312.9900779594
103,OI-1, ,0,P91-63,OI-1, , , ,0.40989406,,1992/02/03 05:00:00+00,,,OI,OFFICE_INSTITUTIONAL,OI, ,18 - OI,,,{7DA8709A-9E10-4B90-9885-735026FD6B87},17854.9295654297,596.397039759953
104,RM-20, ,0, ,RM-20, , , ,42.02987012,,,,,RU-M,RES_HIGH_DENSITY,RU-M, ,13 - RU-M,,,{87799189-0B93-43F3-84E0-840A73B58DAD},1830815.43811035,9413.26909265363
105,RM-12, ,0, ,RM-12, , , ,1.21444314,,,,,RS-M,RES_HIGH_DENSITY,RS-M, ,10 - RS-M,,,{A89A64A0-315E-40B4-9F85-8F1E4F21F4E0},52900.9783935547,951.668471389746
106,GC, ,0,P03-38,GC(D), , ,P03-29,16.61042627,,2005/08/15 05:00:00+00,2005/08/16 05:00:00+00,,CG,COMMERCIAL,CG(D),(D),19 - CG,,,{951122E8-0C5C-4916-84E8-720F19D40E37},723547.913574219,4303.34446937137
107,I-2, ,0,,I-2, , ,"P84-30;P85-06;P89-10;P93-06;P93-23",1189.22179977,,,,,IL,INDUSTRIAL,IL, ,21 - IL,,,{BC040986-D87E-473D-A9F6-D1283704011F},51802340.1834717,59107.5517616809
108,RD, ,0,Z06-15,RD, , , ,4.71996094,2007/01/08 05:00:00+00,,,,CC,COMMERCIAL,CC(D),(D),16 - CC,2007/01/08 05:00:00+00,,{C2A64C6F-F446-4173-BEE2-0923B0D2E8E0},205600.858154297,2246.43461555596
109,OI-1, ,0,P93-68,OI-1(D),Alex,Zoning boundary adjusted per case P93-68., ,7.142664,,1993/09/20 05:00:00+00,,2006/01/19 05:00:00+00,OI,OFFICE_INSTITUTIONAL,OI(D),(D),18 - OI,,,{04B07ADD-A6EC-4C6A-A8F7-49203C4D1270},311133.474487305,2430.44459279882
