OBJECTID,ZONE_CODE,PDR,PDR_DENSIT,CASE_NO,LABEL,EDITOR,ACTION_,COMMENT_,ACRES,BOC_DATE,CITY_COUNC,MAP_EDIT_D,ERROR_FIX_,UDO,ZONE_GEN,UDO_LABEL,DEVELOP_PL,UDO_LEGEND,IN_DATE,PDR_RNG,GlobalID,ShapeSTArea,ShapeSTLength
1983,RM-12, ,0, ,RM-12, , , ,1.29130674,,,,,RS-M,RES_HIGH_DENSITY,RS-M, ,10 - RS-M,,,{FBE2D985-81E3-468B-8FD2-90E312BFFBDA},56249.1462402344,975.003314322676
1984,NC, ,0,P98-47,NC(D), , , ,5.41205257,,1999/05/17 05:00:00+00,,,CN,COMMERCIAL,CN(D),(D),17 - CN,,,{164441EC-BEC7-4A95-8CD0-C4745DA16969},235748.275268555,2290.80958376936
1985,I-2, ,0, ,I-2(D), ,"P98-82;P99-07;P97-15", ,0.62459543,,1997/05/19 05:00:00+00,,,IL,INDUSTRIAL,IL(D),(D),21 - IL,,,{8B388875-829D-4113-9331-FE03A1D3B237},27207.2923583984,762.884969655816
1986,NC, ,0, ,NC, , , ,7.56067552,,,,,CN,COMMERCIAL,CN, ,17 - CN,,,{CC9AECD3-CBE6-43DA-91D5-E242A969DE36},329341.999511719,2593.9465284568
1987,PDR,Y,4.30000019,P00-09,PDR 4.3, , ,P01-30,76.50438907,2000/08/28 05:00:00+00,,,,PDR,RES_MEDIUM_DENSITY,PDR 4.300,(D), 3 - PDR-MDR (4 - 8 du/ac),,PDR-MDR,{5FF12FD0-57F4-4300-AADB-4F876901ADE2},3334085.7623291,7944.88567107596
1988,GC, ,0, ,GC, , , ,10.2976509,,,,,CG,COMMERCIAL,CG, ,19 - CG,,,{74116250-A68C-4FE9-A527-6492FA3DB1FC},448564.275268555,3808.9477680485
1989,R-3, ,0,P85-12,R-3, , , ,6.88879978,,1985/04/01 05:00:00+00,,,RU-5(2),RES_HIGH_DENSITY,RU-5(2), ,12 - RU-5(2),,,{B1B557BF-9E45-4B4C-AE92-FE07D0D05443},300075.183227539,2444.95945965925
1990,OI-2, ,0,,OI-2, , ,"P81-43;P83-38;P01-80",26.87859561,,2002/03/18 05:00:00+00,,,OI,OFFICE_INSTITUTIONAL,OI, ,18 - OI,,,{F587C3A1-5FB6-4394-AC1B-E6996011026F},1170827.97644043,5578.25247287338
1991,R-5, ,0,,R-5, , , ,316.23123029,,1982/11/01 05:00:00+00,,,RU-5,RES_MEDIUM_DENSITY,RU-5, ,11 - RU-5,,,{5B1CAF84-3D69-42E3-B710-64770ABD5C72},13748544.2042236,20793.4148680896
1992,PDR,Y,4.11000013,P97-83,PDR   4.110, , ,P93-36,65.95297517,,1998/07/20 05:00:00+00,,,PDR,RES_MEDIUM_DENSITY,PDR 4.110,(D), 3 - PDR-MDR (4 - 8 du/ac),,PDR-MDR,{7677C95D-057A-4E43-AA92-D47C60EC59B0},2872902.6472168,7918.87918949085
